;"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25"
;2014;2014;2014;2010;2010;2010
; 18+  years; 18+  years; 18+  years; 18+  years; 18+  years; 18+  years
Central African Republic;21.6 [16.9-26.5];28.4 [21.3-36.3];14.6 [9.1-21.3];19.9 [16.1-23.9];26.2 [20.6-32.1];13.5 [9-18.8]
Chad;25.8 [21.1-30];34.1 [27.4-41];17.6 [12.3-23.8];24.2 [21-28];31.7 [26.6-36.9];16.7 [12.6-21.5]
Chile;63.1 [58.3-68.4];63 [55.5-69.9];63.2 [56-70.3];60.7 [56.7-64.6];60.9 [55.1-66.5];60.4 [54.9-66.1]
China;34.4 [29.6-39.3];32.3 [25.4-39.7];36.2 [29.4-43.6];30.1 [26.7-33.8];29.1 [24.1-34.3];31.1 [26.3-36.2]
Colombia;56.5 [51.6-61];58.6 [51.9-65.1];54.3 [46.9-61.4];54 [50.3-57.8];56.7 [51.5-61.7];51.3 [45.7-56.7]
Comoros;24.6 [20.9-28.6];33.8 [27.7-40.4];15.4 [10.7-21.1];22.8 [19.9-25.9];31 [26.4-35.8];14.7 [11-19]
Congo;33.6 [28-39.4];40.3 [32.1-48.5];26.9 [19-36];31 [26.2-35.5];37.7 [31-44.3];24.3 [17.7-31.5]
Cook Islands;81 [77.6-84.8];82.7 [77.6-86.9];79.4 [73.6-84.4];79.4 [76.3-82.4];81.4 [77.1-85.4];77.4 [72.5-82]
Costa Rica;60.4 [55.5-65.3];62.3 [55.6-68.6];58.5 [51.4-65.5];57.7 [54.2-61.5];60.1 [54.9-65.2];55.4 [50-60.8]
Croatia;58.8 [52.9-64.3];53.6 [44.5-62.2];64.4 [56.9-71.5];56.9 [52.3-61.5];52.4 [45.3-59.3];61.7 [55.7-67.6]
Cuba;58.6 [53-64.1];62.8 [54.4-70.6];54.4 [45.4-63.3];55.4 [50.6-60.3];60.4 [53.5-67.1];50.5 [43.2-57.7]
Cyprus;60.3 [55-66.2];56.9 [48.8-64.7];63.6 [55.9-70.8];58.7 [54.3-62.8];55.3 [49.1-61.5];62 [55.9-67.6]
Czech Republic;63.4 [57.6-69];57.3 [48.5-65.7];69.6 [62.6-76.3];62.1 [57.7-66.2];56.6 [49.8-63.2];67.7 [62.2-73.1]
Democratic People's Republic of Korea;20.4 [14.3-25.9];21.4 [13.8-30.2];19.3 [11.5-28.9];19.3 [14.7-24.3];20.6 [14.3-27.5];18 [11.8-25.6]
Democratic Republic of the Congo;20.6 [15.6-25.4];27.6 [20.6-35.8];13.4 [7.8-20.7];18.8 [14.6-23];25.3 [19.5-31.8];12.2 [7.7-17.8]
Denmark;55.2 [50.1-60.2];46.2 [39-53.5];64.4 [57.8-70.8];53.4 [49.6-57];44.3 [38.6-50.1];62.6 [57.3-67.6]
Djibouti;31.9 [25.5-38.2];37 [28.2-46.2];26.9 [18.6-36.3];29.4 [24.3-34.5];34.4 [27.2-41.9];24.4 [17.9-31.8]
Dominica;58.4 [52.7-63.7];63.2 [55.8-70.5];53.5 [45.3-61.6];55.3 [50.9-59.9];60.6 [54.5-66.8];50 [43.3-56.6]
Dominican Republic;56.3 [50.6-62.1];59.9 [52.1-67.5];52.7 [44.3-61.3];52.7 [48.4-56.9];57.3 [51.1-63.4];48.2 [41.6-54.9]
Ecuador;54.1 [48.3-59.7];56.7 [48.7-64.3];51.5 [43.3-59.7];51.6 [47.2-56.5];54.6 [48-60.9];48.7 [42-55.5]
Egypt;62 [57.3-66.7];68.2 [61.7-74.2];55.8 [48.5-63.1];59.4 [55.9-63.1];66 [61.1-70.7];52.8 [47.4-58.2]
El Salvador;56.7 [51.5-61.6];59.8 [52.9-66.5];53.1 [45.5-60.7];54.5 [50.3-58.4];58 [52.8-63.2];50.6 [44.7-56.6]
Equatorial Guinea;41.7 [33.6-50.5];48.4 [37.2-59.8];35.3 [24-47.6];38.7 [32-45.8];45.7 [35.9-55.4];32.1 [22.9-42.3]
Eritrea;19 [15.2-23];26.2 [20.2-32.7];11.8 [7.7-16.6];17.7 [14.7-20.2];23.9 [19.4-28.7];11.5 [8.3-15]
Estonia;56.7 [50.4-62.7];52.3 [43-61.2];61.7 [53.5-69.7];55.1 [50.4-60];51.7 [44.5-58.7];59.1 [52.7-65.4]
Ethiopia;18.9 [15.1-23.1];26.3 [20.4-32.8];11.5 [7.4-16.3];17.2 [14.2-20];23.6 [19.3-28.3];10.8 [7.7-14.2]
Fiji;71.2 [66.5-75.3];74.7 [68.8-80];67.8 [60.5-74.4];70.2 [66.4-73.9];73.6 [68.6-78.2];66.9 [60.7-72.7]
Finland;55.2 [50.8-59.7];48.6 [41.9-54.9];62.1 [55.9-68.1];53.6 [50.2-57];47.3 [42.4-51.9];60.2 [55.7-64.8]
France;60.7 [55.3-66];54.7 [46.8-62.3];67.1 [60.2-73.6];58.7 [54.6-62.7];52.6 [46.4-58.7];65.2 [59.8-70.6]
Gabon;44.8 [37.8-51.4];49 [40.2-57.9];40.6 [30.3-50.9];42.1 [36.3-47.8];47 [39.5-54.4];37.1 [28.8-45.7]
Gambia;32.5 [27.6-37.2];39.3 [32.3-46.8];25.6 [19-32.7];29.4 [25.6-33];35.8 [30.6-41.5];22.9 [18.2-28.2]
Georgia;55.2 [49.5-60.8];56 [48-63.7];54.3 [45.8-62.8];52.8 [48.1-57.2];53.8 [47.3-60.3];51.5 [44.4-58.7]
Germany;54.8 [49.9-59.6];47.2 [40.6-54];62.7 [55.9-69];53.1 [49.7-56.3];45.8 [41-50.7];60.7 [55.9-65.4]
Ghana;33.6 [28.4-38.6];43.6 [36.5-50.8];23.5 [16.9-31];30.3 [26.6-34.1];39.8 [34.3-45.5];20.7 [15.8-26.4]
Greece;60.5 [55.3-65.6];55.2 [47.6-62.6];65.8 [58.9-72.3];59.1 [55.2-63];54 [48.2-59.8];64.2 [58.7-69.5]
Grenada;57.5 [51.5-63.1];64.5 [56.4-72.2];50.6 [41.9-59.4];54.9 [50.3-60];62.1 [55.6-68.7];47.6 [40.7-54.7]
Guatemala;52 [46.6-57.5];56.2 [49-63.2];47.6 [39.7-55.9];50.1 [46-54.4];54.5 [49-60];45.5 [39.3-52]
Guinea;25.5 [21.9-29.5];32.6 [26.8-38.6];18.4 [13.4-24.1];23.7 [20.8-26.5];30.1 [25.8-34.5];17.4 [13.6-21.5]
Guinea-Bissau;26.1 [21.9-31];32.6 [26.2-39.7];19.4 [14-25.9];24 [20.4-27.2];30 [25.3-35.3];17.8 [13.8-22.5]
Guyana;52.9 [46.7-59.1];62.1 [53.5-70.1];43.9 [34.8-53.4];50.4 [45.3-55.4];59.9 [52.9-66.5];41.1 [34-48.6]
Haiti;38.5 [32.1-45];44.9 [36.4-53.9];31.9 [22.9-41.8];35.6 [30.9-40.7];42.2 [35.5-49.2];28.9 [21.9-36.3]
Honduras;51.5 [46-56.8];56 [49.1-63];46.9 [38.8-54.9];49.1 [44.9-53.4];53.7 [48.4-59.2];44.4 [38.3-50.6]
Hungary;59.6 [54.2-65.1];53.3 [44.5-61.6];66.6 [59.4-73.4];58.2 [53.7-62.6];52.4 [45.5-59.1];64.6 [59-70.1]
Iceland;57.9 [52.4-63.2];50.5 [42.6-58.3];65.2 [57.8-71.9];56.3 [51.8-60.5];49.2 [43-55.3];63.2 [57.5-68.7]
India;22 [18.3-25.5];24.7 [19.6-30.4];19.5 [14.4-25.4];19.7 [17.2-22.2];22.3 [18.7-26.2];17.3 [13.8-21.1]
Indonesia;24.5 [20.4-28.9];28.4 [22.2-35.2];20.6 [14.9-27.5];21.2 [18.2-24.1];25.2 [20.8-29.9];17.3 [13.4-21.7]
Iran (Islamic Republic of);62.3 [57.8-66.9];65.1 [59-71.2];59.5 [53-65.8];59.4 [56.5-63];62.8 [58.4-67];56.1 [51.4-60.6]
Iraq;57.9 [52.6-63];62.7 [55.7-69.7];53.3 [45-61.2];54.5 [50.3-58.9];59.7 [54-65.2];49.5 [43.2-55.8]
Ireland;60.3 [55.7-65.4];54.6 [47.9-61.4];66.2 [59.6-72.4];58.3 [54.7-62];52 [47-57.4];64.6 [59.7-69.6]
Israel;63.5 [58.6-68.7];59 [51.2-66.4];68.2 [61.3-74.7];61.8 [57.4-65.6];57.6 [51.6-63.4];66.2 [60.7-71.5]
Italy;58.8 [53.7-63.5];53.7 [46.3-60.9];64.3 [57.5-70.7];57.2 [53.3-60.9];52 [46.6-57.3];62.7 [58-67.3]
Jamaica;59.1 [53.9-63.8];65.9 [58.6-72.7];52.1 [44-60.2];56.3 [52.6-60.6];63.6 [57.7-69];48.7 [42.7-55.1]
Japan;24.2 [20.7-28];19.7 [15.1-24.9];29 [23.1-35.3];23.2 [20.3-26.1];19.4 [15.9-23];27.2 [23.2-31.5]
Jordan;65.9 [61-70.9];70 [63.6-75.8];62 [54.5-69.1];63.4 [59.5-67.1];68 [63.1-72.6];59 [53.1-64.7]
Kazakhstan;58.8 [52.7-64.8];57.1 [48.7-65.1];60.5 [52.1-68.5];56.2 [51.2-61.4];55.4 [48.5-62.1];57 [50.2-63.7]
Kenya;26.2 [21.9-31];34.6 [28.1-41.5];17.7 [12.3-23.8];23.9 [20.6-27];31.2 [26.3-36.4];16.5 [12.4-21.1]
Kiribati;73.1 [68.6-77.7];78.9 [73.2-83.9];67.4 [59.7-74.3];72.2 [68.2-76.1];77.9 [73-82.3];66.8 [60.4-72.8]
Kuwait;75.4 [71.3-79.4];75.8 [69.8-81.1];75.2 [68.9-80.6];73.3 [69.9-76.7];73.9 [69-78.3];72.8 [67.9-77.4]
Kyrgyzstan;47.2 [41-53.1];49.1 [41.1-56.9];45.2 [36.3-54.5];44.8 [39.7-49.5];46.9 [40.1-53.4];42.7 [35.5-50.7]
Lao People's Democratic Republic;19 [15.5-23];22.6 [17-28.7];15.3 [10.4-21.1];16.4 [13.6-19.1];19.9 [15.8-24.3];12.8 [9.4-16.8]
Latvia;57.9 [51.4-63.8];54.5 [45-63.1];62 [53.6-69.7];56.2 [51.7-61.1];53.9 [46.5-60.7];59 [52.6-65.2]
Lebanon;68.7 [64.1-73.2];70.1 [63.7-75.9];67.4 [60.8-73.4];66 [62.1-69.7];67.4 [61.9-72.4];64.5 [59-69.8]
Lesotho;35.4 [30-40.8];51.1 [43.2-59.2];19.3 [13.5-26];33.4 [29.5-37.2];48.1 [41.8-54.7];18.1 [13.5-23.1]
Liberia;25 [20.5-29.3];32.7 [26.4-39.8];17.4 [12-23.8];22.6 [19.1-26.1];29.5 [24.6-34.8];15.8 [11.9-20.5]
Libya;68.7 [64.6-72.7];70.9 [65.1-76.5];66.5 [59.9-72.5];66 [62.7-69.3];68.8 [64.3-73.3];63.4 [58.5-68.1]
Lithuania;60.1 [54.2-66.4];57.9 [48.8-66.3];62.6 [54.5-70.2];57.9 [53-62.2];56.5 [49.4-63.1];59.5 [53.2-65.5]
Luxembourg;58 [53.1-63.1];48.3 [40.7-56.1];67.8 [60.9-74.1];55.8 [51.8-59.5];46.4 [40.4-52.2];65.3 [60.1-70.5]
Madagascar;22.8 [18.7-27];30.3 [23.9-37.2];15.2 [10.5-20.7];20.9 [17.7-24];27.4 [22.7-32.5];14.3 [10.7-18.2]
Malawi;21.9 [18.2-25.7];30.9 [24.9-37.3];12.9 [8.6-17.8];19.9 [17.1-22.6];27.7 [23.3-32.2];12.1 [8.9-15.7]
Malaysia;38.5 [33.1-44.1];39.8 [32.4-47.2];37.2 [29.6-45.4];34.4 [30.6-38.1];36 [30.7-41.6];32.7 [27-38.6]
Maldives;29.6 [23.9-35];33.5 [25.8-41.6];25.9 [18.4-34.6];27 [22.1-31.9];31.2 [24.7-38.1];22.9 [16.5-30]
Mali;25.1 [20.9-29.3];31.1 [25.2-37.6];19.1 [13.5-25.4];23 [19.7-26];28.6 [24.1-33.3];17.4 [13.3-22.1]
Malta;64 [58.1-69.1];59.6 [51.3-67.5];68.5 [61.2-75.2];62.1 [58.1-66.4];57.9 [51.5-64.1];66.4 [60.6-72]
Marshall Islands;75.8 [71.3-80];78.9 [73.2-83.9];72.7 [66.1-78.8];75 [71.6-78.4];78.2 [73.4-82.6];71.8 [66.2-77]
Mauritania;30.3 [25-35.7];35.5 [28.6-42.8];25.2 [18.3-33];27.8 [23.4-31.5];32.6 [27.3-38.4];23 [17.7-28.7]
Mauritius;45.1 [39.2-50.8];51.8 [43.2-60.2];38.2 [29.7-47];41.7 [37-46.6];47.8 [41.1-54.7];35.5 [29-42.3]
Mexico;64.4 [60.1-68.7];65.6 [59.4-71.4];63.1 [56.7-69.5];62.1 [59-65.4];63.6 [59-68.1];60.4 [55.7-65.3]
Micronesia (Federated States of);68.9 [64.1-73.3];74.5 [68.5-79.8];63.7 [56.3-70.8];67.9 [64.1-71.9];73.3 [68.5-77.9];62.8 [57.1-68.4]
Monaco;No data;No data;No data;No data;No data;No data
Mongolia;50.4 [44.7-56.4];49.9 [41.7-57.8];50.9 [42.6-59.3];46.7 [41.9-51.6];46.9 [40.2-53.5];46.6 [39.5-53.6]
Montenegro;55.8 [50-61.2];50.1 [41.2-58.8];61.7 [53.6-69.3];54.3 [49.8-59.1];49.2 [42.3-56];59.5 [53.2-65.5]
Morocco;56.5 [51.4-61.5];60.8 [53.4-67.9];52 [44.2-59.6];53.7 [49.8-58];58.4 [52.7-63.8];48.8 [42.7-54.5]
Mozambique;21.8 [18.2-25.6];29.8 [24-36.4];13.5 [9.1-18.6];19.9 [16.9-22.9];27 [22.6-31.7];12.5 [9.2-16.3]
Myanmar;17.6 [14-21.7];21.6 [16.1-27.7];13.4 [8.8-19.1];15 [12.2-17.9];18.7 [14.7-23.1];11.2 [7.9-15.2]
Namibia;42.9 [37.2-48.8];54.8 [46.7-62.7];30.2 [22.8-38.2];40 [35.3-44.4];51.9 [45.4-58.2];27.4 [21.8-33.5]
Nauru;77.8 [72.6-82.9];80.2 [73.3-86];75.5 [66.9-82.8];77.6 [73.3-81.6];79.9 [74.2-84.8];75.3 [68.5-81.5]
Nepal;18 [14.2-21.6];21.4 [16.4-27.3];14.4 [9.9-19.9];16.2 [13.3-18.8];19.1 [15.3-23.4];13.2 [9.8-17.3]
Netherlands;55.9 [51-60.6];48.2 [41.2-55.2];63.6 [56.8-69.9];53.7 [50.3-57.1];46.4 [41.2-51.5];61.2 [56.3-65.9]
New Zealand;64 [60.1-67.9];59.7 [54.1-65.4];68.5 [62.9-73.7];61.7 [58.8-64.7];57.3 [53.1-61.6];66.2 [62.1-70.1]
Nicaragua;49.4 [44-54.9];54.8 [47.3-62];43.9 [35.7-52.6];47.4 [43.4-51.6];52.9 [47.1-58.6];41.9 [35.7-48.5]
Niger;19.4 [15.5-23.2];26.3 [20.8-32.4];12.7 [8.4-17.9];18.2 [15.4-21];24.1 [19.9-28.6];12.4 [9-16.2]
Nigeria;33.3 [28.8-37.6];40.9 [34.6-47.2];26 [19.9-32.3];29.8 [26.8-32.8];36.8 [32.2-41.5];23 [18.8-27.6]
Niue;74.9 [70.9-79.2];78.4 [73-83.1];71.4 [64.8-77.4];73.4 [70.1-76.9];77.2 [72.6-81.4];69.8 [64.4-74.9]
Norway;58.5 [53.5-62.9];51.8 [44.7-58.8];65.2 [58.5-71.4];57.1 [53.5-60.7];50.9 [45.5-56.1];63.2 [58.3-67.9]
Oman;67.4 [62.8-71.9];69.8 [63-75.7];66.1 [59.3-72.4];64.7 [61-68.3];67.5 [62.4-72.2];62.8 [57.5-67.7]
Pakistan;23 [18.6-27.2];25.3 [19.7-31.6];20.8 [14.9-27.9];21.2 [17.7-24.7];23.3 [19.1-28];19.2 [14.7-24.5]
Palau;79.3 [75.5-83];81 [75.7-85.6];77.6 [71.4-82.9];78.3 [75.1-81.4];80.3 [75.7-84.3];76.3 [71.1-81]
Panama;62.2 [57.2-67.2];65.5 [58.7-72];59 [51.4-66.3];59.1 [55-63.2];62.9 [57.3-68.1];55.4 [49.5-61.2]
Papua New Guinea;60.7 [55-66.4];66.3 [58.7-73.2];55.3 [46.6-64];59.4 [54.5-64.4];64.6 [58.3-70.3];54.3 [47.1-61.5]
Paraguay;48.5 [42.6-54.2];49.1 [40.9-57];48 [40-56.4];46.1 [41.3-50.7];46.7 [40.2-53.1];45.5 [39.3-52.1]
Peru;58.2 [52.4-63.6];62 [54.8-68.8];54.3 [46-62.6];54.8 [50.3-59.2];59 [53.2-64.5];50.6 [44-57.2]
Philippines;23.6 [19.2-28.4];26.3 [19.9-33.2];21 [15.1-27.9];21.5 [18.4-24.7];24.2 [19.5-29];18.9 [14.6-23.8]
Poland;61.1 [55.1-66.9];56.7 [48-65.1];65.8 [58.5-72.8];59.2 [54.9-63.5];55.2 [48.6-61.7];63.4 [57.9-68.7]
Portugal;55.6 [50.4-60.8];50.2 [42.1-58];61.4 [53.8-68.9];53.7 [49.6-58];48.5 [42.3-54.7];59.3 [53.5-65.2]
Qatar;78.1 [73.1-82.9];78.9 [73.2-84];77.8 [71.5-83.1];75.1 [71.2-79];76.9 [72.2-81.3];74.5 [69.2-79.2]
Republic of Korea;33.5 [28.7-38.5];30.1 [23.2-37.2];37 [30.1-44.2];29.6 [26-33.1];26.6 [21.9-31.5];32.7 [27.9-37.8]
Republic of Moldova;46.6 [40.6-53];46.7 [38.4-55.4];46.4 [37.5-55.1];44.4 [39.7-49.4];45.3 [38.6-52];43.4 [36.2-50.3]
Romania;57.6 [51.7-62.9];52.7 [44.1-61.3];62.7 [55-70];56 [51.6-60.5];51.9 [45-58.6];60.3 [54.3-66.1]
Russian Federation;58.7 [53.4-64.1];56.8 [48.6-64.6];60.9 [53.1-68.7];56.4 [52.2-60.4];55.6 [49.4-61.8];57.2 [51.2-63]
Rwanda;19.8 [15.8-23.8];27.7 [21.5-34.6];11.6 [7.1-17.3];17.9 [14.3-21.1];24.9 [19.9-30.3];10.6 [7-15.2]
Saint Kitts and Nevis;58.9 [53.2-65];64.7 [56.3-72.6];53 [43.8-62.4];56.9 [52-61.5];62.9 [55.9-69.6];50.8 [43.8-58]
Saint Lucia;57.4 [50.7-64.5];63.4 [54.3-72];51.1 [41.2-61.1];54.4 [48.9-59.8];60.5 [53.2-67.7];48.1 [40.5-55.8]
Saint Vincent and the Grenadines;56.3 [50.2-62];61.3 [53.3-68.9];51.3 [43-59.7];53.3 [48.7-57.8];59.1 [52.8-65.4];47.6 [41.1-54.2]
Samoa;74.3 [69.7-79.2];80 [74.3-84.8];69.1 [61.3-76.1];73.3 [69.3-77.2];78.9 [74.2-83.2];68 [61.8-73.9]
San Marino;No data;No data;No data;No data;No data;No data
Sao Tome and Principe;34.8 [30-39.4];42.8 [35.9-50.2];26.7 [20.1-34];31.7 [28-35.8];39.5 [34-45.3];23.7 [18.8-29.2]
Saudi Arabia;69.6 [65.1-74.4];71.9 [65.7-77.7];68 [61.2-74.2];67.3 [63.6-71.1];69.9 [65.1-74.5];65.3 [60.2-70.1]
Senegal;30.2 [26.2-34.6];37.7 [31.3-44.2];22.4 [16.6-28.7];28.1 [24.5-31.4];35 [30.2-40];21 [16.7-25.7]
Serbia;54.5 [49-59.9];49.2 [40.6-57.7];59.9 [52.4-67.4];52.5 [47.8-56.8];47.7 [41-54.2];57.6 [51.7-63.4]
Seychelles;55.3 [49.3-61.5];63.4 [55-71.4];47.4 [37.9-56.6];51.9 [46.9-57.1];60.1 [52.9-66.9];43.9 [36.3-51.6]
Sierra Leone;25.8 [21.7-29.8];34 [28.1-40.3];17.6 [12.9-23];23.5 [20.5-26.2];30.6 [26.3-35.1];16.2 [12.6-20.1]
Singapore;32.8 [28.4-37.5];28.1 [22.3-34.4];37.6 [31.3-44.3];30.1 [26.8-33.2];26 [21.8-30.7];34.2 [29.3-39.2]
Slovakia;61 [55.3-66.6];56.2 [47.2-64.6];66.1 [58.5-73.2];58.9 [54.4-63.5];54.6 [47.5-61.3];63.6 [57.6-69.4]
Slovenia;60.6 [54.5-66.5];55.1 [45.4-64.4];66.1 [58.2-73.7];59 [54.3-63.8];54 [46.6-61.4];64.1 [57.7-70.2]
Solomon Islands;60.2 [54.4-65.7];67.4 [60.2-74.1];53.2 [44.2-61.8];58.9 [54.4-63.5];65.9 [60.1-71.7];52 [44.8-59]
Somalia;20.7 [16.1-25.6];26.5 [19.8-33.9];14.9 [9.5-21.3];19.2 [15.6-22.9];24.2 [18.9-29.9];14.2 [9.9-19.3]
South Africa;53.9 [49.2-58.5];64 [57.6-70.1];43.2 [36-50.5];50.7 [47.1-54.2];61.4 [56.4-66.5];39.3 [33.9-44.7]
South Sudan;27.8 [22.9-32.6];34.1 [27.2-41.3];21.5 [15.6-28.3];25.6 [22.1-29.3];31.2 [26-36.6];20 [15.3-25.1]
Spain;60.9 [56.4-66.3];55.7 [48.2-62.8];66.2 [59.3-72.2];59.2 [55.7-62.9];54 [48.4-59.3];64.6 [59.7-69.3]
Sri Lanka;25.2 [19.6-30.4];31.6 [23.8-39.8];18.4 [12.3-25.8];22 [18.4-25.5];27.8 [22.1-33.8];16 [11.7-21.1]
Sudan;27.8 [22.9-32.6];34.1 [27.2-41.3];21.5 [15.6-28.3];25.6 [22.1-29.3];31.2 [26-36.6];20 [15.3-25.1]
Suriname;58.5 [52.7-64.2];63.3 [55.5-70.7];53.7 [45.6-62.1];55.5 [50.8-60.2];60.9 [54.5-67];50.1 [43.4-56.8]
Swaziland;41.4 [35.3-47.2];55.2 [46.6-63.4];27.3 [19.9-35.6];39.2 [34.9-43.5];52.1 [45.3-58.7];25.8 [20.2-32]
Sweden;55.9 [51.1-60.9];48.8 [42-55.7];63.1 [56.5-69.5];53.9 [50.3-57.2];47.1 [42-52];60.8 [56-65.4]
Switzerland;54.7 [49.8-59.6];46.4 [39.1-53.6];63.3 [56.5-69.5];53.2 [49.8-56.9];45.2 [39.8-50.6];61.5 [56.5-66.2]
Syrian Arab Republic;58.5 [53.5-63.2];62.3 [55.2-69];54.8 [47.5-61.9];56 [52.1-59.8];59.9 [54.2-65.3];52.2 [46.8-57.7]
Tajikistan;44.9 [38.6-51.8];48.8 [40.4-57.5];41 [31.5-50.6];42.6 [37.5-47.4];46.6 [39.4-53.7];38.6 [30.9-46.5]
