sep=,
"Greece","22.5","","","","","","","22.5","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hong-Kong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","17.7","","","","","","17.7","18.8","","","18.2","","","","","","21.1","21.1","21.1","","","","15.8","15.8","15.8","15.8","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","12.4","","","","","","","","12.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","0.7","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","2.4","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia 1960-1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","14.2","","","","","14.2","18.1","","","","","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","13.0","","","","","","","","13.0","","","17.8","10.0","8.0","","","","","","","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","22.9","","","","","","","","","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","9.8","","","","","9.8","8.2","9.0","8.5","","","","","7.0","","","6.4","","","6.5","6.5","","","","","","","7.4","","","","","","","","","","","","","","","","","","","",""
"Jamaica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","3.1","","","","","","","","","3.1","","","3.1","","","2.4","2.3","2.3","2.3","2.3","2.0","2.0","2.0","2.0","2.0","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","","","","","","","","","","","","",""
"Jordan","19.5","","","","","","19.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jordan 1960-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kiribati","50.6","","","","50.6","50.6","50.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","28.8","","","","","","","","","","28.8","28.8","28.8","","42.5","42.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","8.7","","","","","","","","","","","","","","","","","8.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","1.2","","","","","","","","","","1.2","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","15.6","","","","15.6","","16.3","","13.4","","11.9","","14.5","13.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lebanon","13.5","","","","","","13.5","13.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","19.7","","","","19.7","","15.4","","16.0","","20.4","","19.2","15.1","14.8","14.8","14.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","9.0","","","","","","","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","2.1","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malawi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","16.3","","","","16.3","16.3","","14.4","14.4","","","","","","5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia 1963-1964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
